genre,year,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales,rank
Action,2001,31.40,19.93,5.95,4.42,61.70,1
Racing,2001,29.54,17.91,3.93,4.54,55.91,2
Sports,2001,29.43,14.28,3.90,4.63,52.23,3
Action,2002,47.92,27.03,5.19,6.75,87.00,1
Sports,2002,35.83,19.36,4.69,6.27,66.25,2
Shooter,2002,28.82,15.06,1.02,3.82,48.82,3
Action,2003,37.74,20.84,4.19,5.16,67.88,1
Sports,2003,32.60,14.45,4.00,4.54,55.73,2
Racing,2003,28.25,17.65,2.83,4.62,53.36,3
Action,2004,38.67,15.98,4.79,16.17,75.72,1
Sports,2004,43.00,17.45,4.42,7.00,71.90,2
Role-Playing,2004,21.48,10.48,13.49,2.18,47.62,3
Action,2005,50.54,23.18,5.71,8.32,87.85,1
Sports,2005,36.48,14.90,3.52,6.11,61.02,2
Shooter,2005,28.47,9.14,1.37,3.24,42.24,3
Sports,2006,72.72,40.34,7.89,14.31,135.31,1
Action,2006,36.35,16.61,4.97,7.11,65.03,2
Misc,2006,25.74,16.01,5.98,5.72,53.58,3
Sports,2007,46.40,24.75,8.61,14.13,93.85,1
Action,2007,43.41,18.85,3.89,13.03,79.32,2
Shooter,2007,36.99,19.54,1.49,8.19,66.22,3
Action,2008,62.07,34.86,5.75,17.23,119.86,1
Sports,2008,43.03,23.07,3.64,12.91,82.69,2
Racing,2008,32.14,24.60,4.23,8.72,69.63,3
Sports,2009,69.01,39.66,8.87,14.54,132.00,1
Action,2009,55.03,30.38,6.28,14.04,105.64,2
Shooter,2009,37.70,19.41,1.12,8.19,66.45,3
Action,2010,51.42,30.63,7.18,11.40,100.77,1
Sports,2010,46.93,27.26,3.88,9.98,88.06,2
Misc,2010,48.97,24.01,5.06,7.22,85.25,3
Action,2011,47.55,35.34,10.11,11.66,104.63,1
Shooter,2011,46.05,30.12,2.56,9.80,88.53,2
Sports,2011,27.44,17.80,2.57,6.02,53.78,3
Action,2012,46.97,36.57,11.26,12.15,107.01,1
Shooter,2012,32.89,23.81,2.56,8.07,67.37,2
Sports,2012,15.63,7.45,2.51,2.70,28.32,3
Action,2013,52.33,43.03,9.91,14.59,119.87,1
Shooter,2013,29.09,20.37,1.69,6.42,57.63,2
Role-Playing,2013,11.74,8.25,17.71,2.47,40.16,3
Action,2014,37.29,37.64,5.29,12.45,92.70,1
Shooter,2014,29.56,24.06,1.07,7.94,62.64,2
Sports,2014,19.58,17.89,1.37,6.27,45.12,3
Action,2015,21.88,22.56,13.76,6.91,65.13,1
Shooter,2015,30.47,23.33,2.69,8.32,64.84,2
Sports,2015,18.37,16.31,0.72,5.55,41.00,3
Action,2016,5.67,6.02,4.50,1.72,17.96,1
Shooter,2016,6.93,7.19,0.61,2.33,17.10,2
Sports,2016,4.56,7.27,0.58,1.92,14.30,3
